datetime,temp,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex
2015-10-22T00:00:00,13.5,13.4,99.21,0.0,0.0,,,,10.8,249.0,1014.6,95.1,0.0,0.0,0.0
2015-10-22T01:00:00,13.4,13.3,99.38,0.018,100.0,rain,,,10.2,265.0,1014.7,100.0,0.0,0.0,0.0
2015-10-22T02:00:00,13.2,12.8,97.1,0.0,0.0,,,,8.3,263.0,1014.3,96.4,0.0,0.0,0.0
2015-10-22T03:00:00,13.0,12.6,97.42,0.0,0.0,,,,12.4,275.0,1014.2,94.3,0.0,0.0,0.0
2015-10-22T04:00:00,12.5,11.0,91.05,0.0,0.0,,,,11.6,284.0,1014.2,97.0,0.0,0.0,0.0
2015-10-22T05:00:00,12.3,10.8,90.31,0.0,0.0,,,,13.1,277.0,1014.3,100.0,0.0,0.0,0.0
2015-10-22T06:00:00,12.3,10.9,91.21,0.0,0.0,,,,10.1,263.0,1014.7,100.0,0.0,0.0,0.0
2015-10-22T07:00:00,12.6,11.1,90.31,0.171,100.0,rain,,,11.1,274.0,1014.9,94.3,0.2,0.0,0.0
2015-10-22T08:00:00,12.4,10.9,90.48,0.0,0.0,,,,13.8,249.0,1015.1,87.0,41.4,0.1,0.0
2015-10-22T09:00:00,12.6,11.5,93.02,0.0,0.0,,,,14.3,255.0,1015.8,79.3,138.6,0.5,1.0
2015-10-22T10:00:00,13.5,11.9,90.37,0.0,0.0,,,,13.8,259.0,1016.2,71.8,238.1,0.9,2.0
2015-10-22T11:00:00,14.2,11.7,84.59,0.0,0.0,,,,17.4,262.0,1016.7,85.1,363.8,1.3,4.0
2015-10-22T12:00:00,14.6,9.8,73.08,0.0,0.0,,,,18.6,280.0,1017.2,91.4,455.9,1.6,5.0
2015-10-22T13:00:00,13.8,8.8,71.93,0.0,0.0,,,,19.5,289.0,1017.7,90.8,461.3,1.7,5.0
2015-10-22T14:00:00,,8.4,70.03,0.0,0.0,,,,20.2,307.0,1018.0,95.1,417.3,1.5,4.0
2015-10-22T15:00:00,13.7,7.1,64.14,0.0,0.0,,,,15.4,308.0,1018.4,100.0,323.5,1.2,3.0
2015-10-22T16:00:00,13.5,7.5,67.37,0.0,0.0,,,,9.2,300.0,1019.0,100.0,183.3,0.7,2.0
2015-10-22T17:00:00,13.0,7.0,67.01,0.0,0.0,,,,11.3,304.0,1019.5,100.0,43.9,0.2,0.0
2015-10-22T18:00:00,12.5,6.9,68.77,0.0,0.0,,,14.0,9.4,312.0,1020.0,100.0,0.1,0.0,0.0
2015-10-22T19:00:00,11.6,7.3,74.77,0.0,0.0,,,,6.7,280.0,1020.9,100.0,0.0,0.0,0.0
2015-10-22T20:00:00,11.6,7.3,75.11,0.0,0.0,,,,6.8,285.0,1021.5,100.0,0.0,0.0,0.0
2015-10-22T21:00:00,11.0,8.0,81.98,0.0,0.0,,,,5.1,259.0,1022.0,100.0,0.0,0.0,0.0
2015-10-22T22:00:00,10.9,7.6,79.95,0.0,0.0,,,,2.8,314.0,1022.3,100.0,0.0,0.0,0.0
2015-10-22T23:00:00,10.5,7.9,84.4,0.0,0.0,,,,1.0,268.0,1022.8,100.0,0.0,0.0,0.0
2015-10-23T00:00:00,10.3,8.1,86.42,0.0,0.0,,,,2.3,334.0,1023.0,100.0,0.0,0.0,0.0
2015-10-23T01:00:00,9.8,8.0,88.81,0.0,0.0,,,,0.3,261.0,1022.9,100.0,0.0,0.0,0.0
2015-10-23T02:00:00,9.7,8.2,90.24,0.0,0.0,,,,0.4,286.0,1022.9,100.0,0.0,0.0,0.0
2015-10-23T03:00:00,9.7,8.5,92.31,0.0,0.0,,,,2.0,22.0,1022.8,100.0,0.0,0.0,0.0
2015-10-23T04:00:00,9.9,8.1,88.89,0.0,0.0,,,,6.5,352.0,1022.6,100.0,0.0,0.0,0.0
2015-10-23T05:00:00,9.8,8.1,89.14,0.0,0.0,,,,3.2,22.0,1022.3,100.0,0.0,0.0,0.0
2015-10-23T06:00:00,9.8,8.1,88.75,0.0,0.0,,,,2.0,337.0,1022.6,100.0,0.0,0.0,0.0
2015-10-23T07:00:00,9.7,8.1,89.73,0.0,0.0,,,,6.1,336.0,1022.7,100.0,0.1,0.0,0.0
2015-10-23T08:00:00,9.8,8.1,89.09,0.0,0.0,,,,6.4,344.0,1022.3,100.0,20.2,0.1,0.0
2015-10-23T09:00:00,10.2,8.7,90.54,0.0,0.0,,,,6.3,7.0,1022.8,100.0,62.4,0.2,1.0
2015-10-23T10:00:00,11.0,8.9,87.0,0.0,0.0,,,,3.6,8.0,1022.6,100.0,104.0,0.4,1.0
2015-10-23T11:00:00,12.6,7.8,72.7,0.0,0.0,,,,2.4,74.0,1022.2,100.0,160.9,0.6,2.0
2015-10-23T12:00:00,13.2,7.9,69.93,0.0,0.0,,,,3.9,188.0,1022.1,100.0,201.3,0.7,2.0
2015-10-23T13:00:00,13.5,7.9,68.7,0.0,0.0,,,,5.7,141.0,1021.7,100.0,212.3,0.8,2.0
2015-10-23T14:00:00,13.5,7.7,67.87,0.0,0.0,,,,4.7,196.0,1021.1,100.0,181.6,0.7,2.0
2015-10-23T15:00:00,13.2,8.5,73.07,0.0,0.0,,,,10.6,225.0,1020.6,100.0,142.2,0.5,1.0
2015-10-23T16:00:00,13.2,8.2,71.51,0.0,0.0,,,,14.3,207.0,1020.0,98.7,70.1,0.3,1.0
2015-10-23T17:00:00,12.7,7.5,70.47,0.0,0.0,,,,13.1,207.0,1020.0,97.0,18.5,0.1,0.0
2015-10-23T18:00:00,12.8,7.4,69.87,0.0,0.0,,,,14.2,199.0,1019.8,100.0,0.0,0.0,0.0
2015-10-23T19:00:00,12.7,7.0,68.26,0.0,0.0,,,,15.7,197.0,1019.6,100.0,0.0,0.0,0.0
2015-10-23T20:00:00,12.7,7.9,72.46,0.0,0.0,,,,13.0,191.0,1019.2,100.0,0.0,0.0,0.0
2015-10-23T21:00:00,12.9,7.7,70.89,0.0,0.0,,,,17.2,192.0,1018.9,100.0,0.0,0.0,0.0
2015-10-23T22:00:00,12.7,7.6,71.0,0.0,0.0,,,,15.4,185.0,1018.4,100.0,0.0,0.0,0.0
2015-10-23T23:00:00,12.6,8.0,73.58,0.0,0.0,,,,17.2,196.0,1018.4,100.0,0.0,0.0,0.0
2015-10-24T00:00:00,12.8,8.0,72.72,0.0,0.0,,,,17.1,193.0,1017.5,100.0,0.0,0.0,0.0
2015-10-24T01:00:00,12.8,8.1,73.1,0.0,0.0,,,,18.9,196.0,1017.0,98.6,0.0,0.0,0.0
2015-10-24T02:00:00,12.8,8.5,75.01,0.0,0.0,,,,15.3,200.0,1016.5,96.4,0.0,0.0,0.0
2015-10-24T03:00:00,12.9,8.9,76.98,0.0,0.0,,,,14.5,199.0,1016.1,100.0,0.0,0.0,0.0
2015-10-24T04:00:00,12.7,9.3,79.69,0.0,0.0,,,,12.9,206.0,1015.6,96.4,0.0,0.0,0.0
2015-10-24T05:00:00,12.9,9.0,77.35,0.0,0.0,,,,9.9,197.0,1014.5,95.8,0.0,0.0,0.0
2015-10-24T06:00:00,13.1,9.4,78.43,0.0,0.0,,,,14.1,202.0,1014.1,95.1,0.0,0.0,0.0
2015-10-24T07:00:00,13.3,9.5,78.06,0.0,0.0,,,,18.4,200.0,1014.1,100.0,0.0,0.0,0.0
2015-10-24T08:00:00,13.3,9.9,79.84,0.0,0.0,,,,19.1,206.0,1013.9,97.9,13.9,0.1,0.0
2015-10-24T09:00:00,13.7,10.1,78.9,0.0,0.0,,,,20.5,198.0,1014.0,94.4,61.5,0.2,1.0
2015-10-24T10:00:00,13.8,10.5,80.31,0.0,0.0,,,,19.9,207.0,1014.0,96.5,163.4,0.6,2.0
2015-10-24T11:00:00,14.0,10.1,77.33,0.0,0.0,,,,21.4,208.0,1013.8,90.9,280.8,1.0,3.0
2015-10-24T12:00:00,14.0,9.9,76.44,0.0,0.0,,,,22.7,200.0,1013.4,89.8,255.4,0.9,3.0
2015-10-24T13:00:00,14.3,10.5,77.8,0.011,100.0,rain,,,22.0,200.0,1013.3,83.5,205.5,0.7,2.0
2015-10-24T14:00:00,13.9,10.6,80.43,0.0,0.0,,,,17.1,201.0,1013.3,88.7,233.2,0.8,2.0
