datetime,temp,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,uvindex
2000-01-01T00:00:00,5.9,5.7,98.63,0.0,0.0,,,,9.4,210.0,1020.6,,,
2000-01-01T01:00:00,6.4,5.8,96.12,0.0,0.0,,,,15.1,233.0,1020.4,100.0,,
2000-01-01T02:00:00,6.6,6.4,98.31,0.0,0.0,,,,13.9,238.0,1020.5,100.0,,
2000-01-01T03:00:00,7.2,6.5,95.92,0.0,0.0,,,,14.1,232.0,1020.5,100.0,,
2000-01-01T04:00:00,7.2,6.6,96.38,0.0,0.0,,,,14.3,242.0,1020.4,100.0,,
2000-01-01T05:00:00,7.5,6.8,95.85,0.0,0.0,,,,14.1,270.0,1021.3,100.0,,
2000-01-01T06:00:00,8.0,7.3,95.37,0.044,100.0,rain,,,11.9,290.0,1021.7,100.0,,
2000-01-01T07:00:00,8.0,7.3,95.22,0.0,0.0,,,,10.6,300.0,1022.6,100.0,,
2000-01-01T08:00:00,7.6,7.2,97.35,0.0,0.0,,,,12.3,308.0,1023.5,90.0,,
2000-01-01T09:00:00,7.5,6.8,95.5,0.0,0.0,,,,13.3,326.0,1024.4,90.0,,
2000-01-01T10:00:00,7.1,6.2,94.1,0.0,0.0,,,,4.2,322.0,1024.8,30.0,,
2000-01-01T11:00:00,7.7,6.6,92.42,0.0,0.0,,,,4.3,334.0,1025.4,30.0,,
2000-01-01T12:00:00,8.4,6.5,87.92,0.0,0.0,,,,3.0,359.0,1025.3,30.0,,
2000-01-01T13:00:00,8.6,6.0,83.69,0.0,0.0,,,,2.4,307.0,1025.3,30.0,,
2000-01-01T14:00:00,7.4,6.4,93.31,0.0,0.0,,,,4.8,277.0,1025.4,90.0,,
2000-01-01T15:00:00,7.3,6.0,91.44,0.0,0.0,,,,6.4,263.0,1025.5,90.0,,
2000-01-01T16:00:00,6.5,5.4,92.3,0.0,0.0,,,,4.8,286.0,1025.6,50.0,,
2000-01-01T17:00:00,6.8,5.8,93.56,0.0,0.0,,,,3.5,190.0,1025.7,90.0,,
2000-01-01T18:00:00,6.6,5.7,94.58,0.0,0.0,,,,7.0,181.0,1025.7,90.0,,
2000-01-01T19:00:00,6.5,5.7,94.69,0.0,0.0,,,,6.1,214.0,1026.4,100.0,,
2000-01-01T20:00:00,7.1,5.6,90.42,0.0,0.0,,,,8.9,209.0,1026.4,100.0,,
2000-01-01T21:00:00,6.9,5.4,90.26,0.0,0.0,,,,10.6,210.0,1026.4,50.0,,
