datetime,temp,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,solarradiation,solarenergy,uvindex
2013-05-13T00:00:00,11.3,10.4,93.9,0.0,0.0,,0.0,0.0,22.2,243.0,1011.4,92.3,0.0,0.0,0
2013-05-13T01:00:00,11.3,10.3,93.48,0.224,100.0,rain,0.0,0.0,23.7,243.0,1010.8,93.3,0.0,0.0,0
2013-05-13T02:00:00,11.3,10.2,93.3,0.0,0.0,,0.0,0.0,21.7,239.0,1010.6,90.0,0.0,0.0,0
2013-05-13T03:00:00,11.3,10.2,92.73,0.0,0.0,,0.0,0.0,23.5,244.0,1010.6,90.0,0.0,0.0,0
2013-05-13T04:00:00,11.1,10.0,93.05,0.0,0.0,,0.0,0.0,22.7,249.0,1010.3,86.7,0.0,0.0,0
2013-05-13T05:00:00,10.6,9.4,92.17,0.0,0.0,,0.0,0.0,22.5,249.0,1010.3,90.0,6.8,0.0,0
2013-05-13T06:00:00,10.5,9.4,92.9,0.0,0.0,,0.0,0.0,19.0,247.0,1010.6,87.7,69.0,0.2,1
2013-05-13T07:00:00,10.9,8.8,86.98,0.117,100.0,rain,0.0,0.0,18.3,260.0,1010.7,90.0,264.1,1.0,3
2013-05-13T08:00:00,10.5,6.7,76.95,0.0,0.0,,0.0,0.0,22.4,275.0,1011.3,79.8,419.8,1.5,4
2013-05-13T09:00:00,10.6,5.4,69.94,0.0,0.0,,0.0,0.0,19.4,272.0,1011.5,71.6,412.9,1.5,4
2013-05-13T10:00:00,11.6,4.6,61.9,0.0,0.0,,0.0,0.0,25.0,267.0,1011.4,70.0,408.5,1.5,4
2013-05-13T11:00:00,12.0,4.8,61.14,0.0,0.0,,0.0,0.0,28.0,263.0,1011.3,68.0,455.5,1.6,5
2013-05-13T12:00:00,12.6,3.6,54.23,0.0,0.0,,0.0,0.0,33.0,255.0,1010.9,53.9,460.9,1.7,5
2013-05-13T13:00:00,12.7,2.8,51.13,0.0,0.0,,0.0,0.0,31.1,252.0,1010.6,72.4,590.8,2.1,6
2013-05-13T14:00:00,13.1,2.6,48.88,0.0,0.0,,0.0,0.0,29.4,257.0,1010.3,68.1,728.3,2.6,7
2013-05-13T15:00:00,12.8,3.9,54.64,0.0,0.0,,0.0,0.0,29.3,255.0,1009.6,79.8,693.3,2.5,7
2013-05-13T16:00:00,13.2,3.7,52.61,0.0,0.0,,0.0,0.0,28.4,256.0,1009.4,80.1,483.8,1.7,5
2013-05-13T17:00:00,12.5,4.1,56.36,0.0,0.0,,0.0,0.0,29.7,258.0,1008.7,90.0,355.0,1.3,4
2013-05-13T18:00:00,12.1,3.4,55.15,0.0,0.0,,0.0,0.0,29.1,253.0,1008.3,67.1,205.1,0.7,2
2013-05-13T19:00:00,9.7,4.4,69.55,0.114,100.0,rain,0.0,0.0,31.9,259.0,1008.4,80.0,87.1,0.3,1
2013-05-13T20:00:00,8.0,5.3,82.67,0.015,100.0,rain,0.0,0.0,29.0,270.0,1008.9,78.6,10.1,0.0,0
2013-05-13T21:00:00,7.8,5.1,83.23,0.0,0.0,,0.0,0.0,22.3,270.0,1008.9,79.8,0.0,0.0,0
2013-05-13T22:00:00,7.0,4.1,81.91,0.0,0.0,,0.0,0.0,18.6,248.0,1008.9,18.4,0.0,0.0,0
2013-05-13T23:00:00,6.3,4.1,85.36,0.0,0.0,,0.0,0.0,18.3,243.0,1008.7,21.7,0.0,0.0,0
2013-05-14T00:00:00,5.6,4.1,90.17,0.0,0.0,,0.0,0.0,17.3,245.0,1008.7,7.7,0.0,0.0,0
2013-05-14T01:00:00,5.6,4.2,90.9,0.942,100.0,rain,0.0,0.0,15.5,236.0,1008.6,24.1,0.0,0.0,0
2013-05-14T02:00:00,6.0,4.3,88.62,0.0,0.0,,0.0,0.0,16.7,239.0,1008.4,40.7,0.0,0.0,0
2013-05-14T03:00:00,5.7,4.1,89.35,0.0,0.0,,0.0,0.0,14.9,237.0,1008.3,13.9,0.0,0.0,0
2013-05-14T04:00:00,5.6,4.2,90.45,0.0,0.0,,0.0,0.0,15.3,231.0,1007.7,52.1,0.0,0.0,0
2013-05-14T05:00:00,5.5,4.1,90.68,0.0,0.0,,0.0,0.0,13.9,228.0,1007.4,46.2,8.4,0.0,0
2013-05-14T06:00:00,5.6,4.1,90.27,0.0,0.0,,0.0,0.0,12.5,222.0,1007.2,30.6,52.2,0.2,1
2013-05-14T07:00:00,6.8,5.0,88.59,0.0,0.0,,0.0,0.0,16.2,222.0,1006.6,38.7,94.2,0.3,1
2013-05-14T08:00:00,8.0,5.3,83.29,0.0,0.0,,0.0,0.0,21.3,234.0,1006.6,38.7,147.9,0.5,1
2013-05-14T09:00:00,9.2,4.8,74.06,0.0,0.0,,0.0,0.0,21.3,233.0,1006.4,59.2,265.6,1.0,3
2013-05-14T10:00:00,10.0,4.5,68.39,0.0,0.0,,0.0,0.0,21.5,237.0,1005.7,64.2,445.3,1.6,4
2013-05-14T11:00:00,10.4,4.2,65.57,0.0,0.0,,0.0,0.0,21.4,223.0,1005.2,78.3,509.6,1.8,5
2013-05-14T12:00:00,10.8,4.9,66.82,0.0,0.0,,0.0,0.0,23.0,217.0,1004.3,67.5,371.5,1.3,4
2013-05-14T13:00:00,10.9,5.3,68.52,0.131,100.0,rain,0.0,0.0,21.9,212.0,1003.6,92.1,384.1,1.4,4
2013-05-14T14:00:00,10.4,6.1,74.97,0.015,100.0,rain,0.0,0.0,20.7,204.0,1003.1,92.1,449.5,1.6,4
2013-05-14T15:00:00,10.1,6.5,78.43,0.0,0.0,,0.0,0.0,22.3,199.0,1002.2,71.9,376.9,1.4,4
2013-05-14T16:00:00,9.6,7.0,83.41,0.0,0.0,,0.0,0.0,21.8,197.0,1001.6,77.5,226.8,0.8,2
2013-05-14T17:00:00,9.2,7.2,87.46,0.089,100.0,rain,0.0,0.0,21.3,191.0,1001.0,84.4,133.3,0.5,1
2013-05-14T18:00:00,9.1,7.2,87.65,0.029,100.0,rain,0.0,0.0,18.2,185.0,1000.1,92.1,70.9,0.3,1
2013-05-14T19:00:00,8.9,7.4,90.29,0.598,100.0,rain,0.0,0.0,16.7,158.0,999.1,91.0,23.6,0.1,0
2013-05-14T20:00:00,8.5,7.5,93.85,0.015,100.0,rain,0.0,0.0,19.8,139.0,997.8,82.1,1.9,0.0,0
2013-05-14T21:00:00,8.5,7.8,95.31,0.067,100.0,rain,0.0,0.0,24.4,135.0,996.6,88.8,0.0,0.0,0
2013-05-14T22:00:00,8.9,8.3,96.01,0.104,,rain,0.0,0.0,25.3,133.0,995.4,84.2,0.0,0.0,0
2013-05-14T23:00:00,9.2,8.6,95.48,0.199,100.0,rain,0.0,0.0,26.5,142.0,993.7,83.1,0.0,0.0,0
2013-05-15T00:00:00,9.5,9.2,97.93,0.014,100.0,rain,0.0,0.0,30.5,146.0,991.9,86.7,0.0,0.0,0
2013-05-15T01:00:00,9.3,7.9,90.93,5.084,100.0,rain,0.0,0.0,29.7,161.0,990.9,86.7,0.0,0.0,0
2013-05-15T02:00:00,8.1,5.4,83.18,0.015,100.0,rain,0.0,0.0,31.9,176.0,989.9,78.6,0.0,0.0,0
2013-05-15T03:00:00,7.7,4.8,82.31,0.0,0.0,,0.0,0.0,32.2,180.0,989.0,83.1,0.0,0.0,0
2013-05-15T04:00:00,7.9,5.2,83.28,0.0,0.0,,0.0,0.0,32.0,187.0,988.3,66.3,0.0,0.0,0
2013-05-15T05:00:00,7.8,5.2,83.73,0.0,0.0,,0.0,0.0,31.5,191.0,988.3,75.2,11.2,0.0,0
2013-05-15T06:00:00,7.4,5.0,84.59,0.0,0.0,,0.0,0.0,39.2,210.0,989.0,68.3,84.9,0.3,1
2013-05-15T07:00:00,7.5,4.6,81.82,0.0,0.0,,0.0,0.0,33.7,208.0,989.3,87.7,195.9,0.7,2
2013-05-15T08:00:00,8.2,4.0,75.03,0.0,0.0,,0.0,0.0,39.5,209.0,990.1,87.7,343.9,1.2,3
2013-05-15T09:00:00,8.7,4.3,73.68,0.0,0.0,,0.0,0.0,38.4,212.0,990.5,86.7,491.9,1.8,5
2013-05-15T10:00:00,8.6,4.2,74.03,0.0,0.0,,0.0,0.0,34.2,215.0,991.6,92.3,637.5,2.3,6
2013-05-15T11:00:00,8.6,4.2,73.85,0.0,0.0,,0.0,0.0,32.0,210.0,992.5,93.3,755.5,2.7,8
2013-05-15T12:00:00,8.4,4.3,75.83,0.0,0.0,,0.0,0.0,30.4,215.0,993.2,92.1,763.0,2.7,8
2013-05-15T13:00:00,9.2,4.9,74.36,0.0,0.0,,0.0,0.0,34.5,224.0,993.8,90.0,716.8,2.6,7
2013-05-15T14:00:00,9.7,5.4,74.42,0.0,0.0,,0.0,0.0,30.4,232.0,994.6,69.1,632.3,2.3,6
2013-05-15T15:00:00,9.6,5.0,73.05,0.0,0.0,,0.0,0.0,29.8,242.0,995.6,84.4,540.5,1.9,5
2013-05-15T16:00:00,10.9,5.7,70.49,0.0,0.0,,0.0,0.0,29.3,238.0,996.5,50.9,427.8,1.5,4
2013-05-15T17:00:00,11.0,5.7,69.52,0.015,100.0,rain,0.0,0.0,26.3,249.0,997.4,50.0,274.9,1.0,3
2013-05-15T18:00:00,11.0,5.8,70.12,0.052,100.0,rain,0.0,0.0,19.2,246.0,998.2,76.7,151.1,0.5,2
2013-05-15T19:00:00,10.6,5.9,72.52,0.114,100.0,rain,0.0,0.0,15.5,239.0,998.6,92.3,73.2,0.3,1
2013-05-15T20:00:00,10.8,5.6,70.19,0.0,0.0,,0.0,0.0,12.4,211.0,999.2,61.0,9.1,0.0,0
2013-05-15T21:00:00,9.2,5.6,78.01,0.0,0.0,,0.0,0.0,8.9,179.0,1000.1,36.9,0.0,0.0,0
2013-05-15T22:00:00,8.2,5.6,83.59,0.0,0.0,,0.0,0.0,9.3,175.0,1000.4,38.6,0.0,0.0,0
2013-05-15T23:00:00,7.8,5.4,84.81,0.0,0.0,,0.0,0.0,12.3,185.0,1000.5,10.0,0.0,0.0,0
2013-05-16T00:00:00,6.7,5.2,89.93,0.0,0.0,,0.0,0.0,8.3,209.0,1000.4,39.8,0.0,0.0,0
2013-05-16T01:00:00,5.8,4.6,91.71,0.0,0.0,,0.0,0.0,7.7,166.0,1000.3,0.0,0.0,0.0,0
2013-05-16T02:00:00,5.0,4.3,95.35,0.0,0.0,,0.0,0.0,7.6,161.0,1000.1,10.0,0.0,0.0,0
2013-05-16T03:00:00,5.3,5.0,98.27,0.0,0.0,,0.0,0.0,9.1,176.0,1000.1,65.6,0.0,0.0,0
2013-05-16T04:00:00,4.4,3.8,95.99,0.0,0.0,,0.0,0.0,8.2,176.0,1000.2,60.2,0.0,0.0,0
2013-05-16T05:00:00,5.2,4.9,98.5,0.0,0.0,,0.0,0.0,7.8,173.0,1000.2,21.4,14.2,0.1,0
2013-05-16T06:00:00,4.2,4.0,98.49,0.0,0.0,,0.0,0.0,6.3,163.0,1000.2,25.8,83.5,0.3,1
2013-05-16T07:00:00,5.4,5.2,98.61,0.114,100.0,rain,0.0,0.0,6.5,356.0,1000.4,37.0,200.8,0.7,2
2013-05-16T08:00:00,7.8,7.1,94.84,0.0,0.0,,0.0,0.0,8.6,173.0,1000.3,62.5,414.6,1.5,4
2013-05-16T09:00:00,9.6,7.7,87.94,0.0,0.0,,0.0,0.0,7.3,206.0,1000.3,52.1,609.5,2.2,6
2013-05-16T10:00:00,11.1,7.7,79.48,0.0,0.0,,0.0,0.0,10.9,164.0,1000.4,34.7,645.0,2.3,6
2013-05-16T11:00:00,11.5,6.7,72.35,0.0,0.0,,0.0,0.0,10.4,132.0,1000.0,18.2,703.0,2.5,7
2013-05-16T12:00:00,12.7,6.0,63.54,0.0,0.0,,0.0,0.0,10.2,184.0,999.8,62.3,782.5,2.8,8
2013-05-16T13:00:00,13.5,5.2,57.03,0.0,0.0,,0.0,0.0,11.2,45.0,999.3,59.4,808.3,2.9,8
2013-05-16T14:00:00,13.4,5.9,60.69,0.0,0.0,,0.0,0.0,14.2,116.0,999.2,66.9,766.3,2.8,8
2013-05-16T15:00:00,13.8,5.4,56.71,0.0,0.0,,0.0,0.0,17.9,129.0,999.2,51.7,672.5,2.4,7
2013-05-16T16:00:00,13.1,6.2,62.93,0.0,0.0,,0.0,0.0,21.2,118.0,999.2,68.4,456.8,1.6,5
2013-05-16T17:00:00,12.4,6.3,66.45,0.0,0.0,,0.0,0.0,22.9,119.0,999.2,90.0,251.3,0.9,3
2013-05-16T18:00:00,11.7,6.8,72.05,0.0,0.0,,0.0,0.0,21.8,111.0,999.7,40.7,135.2,0.5,1
2013-05-16T19:00:00,10.7,6.9,77.45,0.0,0.0,,0.0,0.0,22.3,106.0,1000.1,51.8,65.4,0.2,1
2013-05-16T20:00:00,10.0,7.1,81.89,0.0,0.0,,0.0,0.0,17.1,112.0,1000.3,71.3,9.8,0.0,0
2013-05-16T21:00:00,8.6,6.6,87.21,0.0,0.0,,0.0,0.0,14.0,111.0,1001.0,83.0,0.0,0.0,0
2013-05-16T22:00:00,8.0,6.3,88.89,0.0,0.0,,0.0,0.0,11.7,105.0,1001.2,76.0,0.0,0.0,0
2013-05-16T23:00:00,7.5,6.3,92.21,0.0,0.0,,0.0,0.0,11.3,80.0,1001.5,63.7,0.0,0.0,0
2013-05-17T00:00:00,7.6,6.3,,0.0,0.0,,0.0,0.0,8.0,79.0,1001.6,57.5,0.0,0.0,0
